Category,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,roi/times,roi/currency,roi/percentage
AMM,spiritswap,spirit,SpiritSwap,https://assets.coingecko.com/coins/images/15118/large/token-icon_m.png?1660609477,0.00552008,1959948,1676,5530749,42706,0.00576951,0.00546243,-0.0002389732469,-4.14952,-84947.71037,-4.15413,354372911.2,1000000000,1000000000,0.638113,-99.13242,2021-10-08T20:14:00.755Z,0.0047613,16.27352,2022-12-30T15:21:49.104Z,,2023-03-09T12:18:09.000Z,-0.05483697371,,,
AMM,unicly,unic,Unicly,https://assets.coingecko.com/coins/images/14720/large/Unicly.png?1621132059,4.26,1854725,1705,2330947,104354,4.57,3.91,0.03819615,0.90542,19298.09,1.05142,437632.5961,437632.5961,550000,10745.14,-99.96046,2021-05-18T15:28:21.423Z,0.392933,981.33111,2021-05-18T11:17:52.704Z,,2023-03-09T12:18:07.114Z,1.628639604,,,
AMM,aldrin,rin,Aldrin,https://assets.coingecko.com/coins/images/16849/large/Aldrin.png?1629959768,0.140587,1737947,1752,7028329,18697.66,0.169413,0.138692,-0.02882649435,-17.01549,-299175.359,-14.68617,12363871,50000000,50000000,7.69,-98.16846,2021-10-28T21:35:22.551Z,0.106481,32.20432,2023-02-17T17:22:01.241Z,,2023-03-09T12:18:07.513Z,1.015607594,,,
AMM,stellaswap,stella,StellaSwap,https://assets.coingecko.com/coins/images/22801/large/stellaswap.jpg?1642584268,0.08954,1534949,1820,44784275,35827,0.09211,0.089067,-0.002186144117,-2.38334,-32079.21347,-2.04714,17137138.69,17137184,500000000,4.55,-98.02953,2022-02-16T10:09:50.089Z,0.03352341,167.3015,2023-01-07T11:10:31.716Z,,2023-03-09T12:15:52.623Z,0.4712323824,,,
AMM,meta,mta,mStable Governance: Meta,https://assets.coingecko.com/coins/images/11846/large/mStable.png?1594950533,0.02949037,1470020,1844,2942792,46376,0.0329208,0.02792921,-0.001714757581,-5.49512,-92697.31358,-5.9318,49953228.94,100000000,100000000,11.03,-99.73338,2020-08-31T16:08:57.817Z,0.02742531,7.22353,2023-02-13T12:23:24.888Z,,2023-03-09T12:18:15.531Z,0.1125067351,,,
AMM,mettalex,mtlx,Mettalex,https://assets.coingecko.com/coins/images/12730/large/nrEqFTEW_400x400.jpg?1602063980,0.353576,1437173,1857,,18509.46,0.377758,0.350357,-0.02221893484,-5.91252,-90716.15893,-5.93735,4062685,40000000,,14.4,-97.5435,2021-02-21T20:57:10.224Z,0.04658621,659.32342,2022-10-25T13:18:59.275Z,,2023-03-09T12:18:04.799Z,0.219540539,,,
AMM,shard,shard,Shard Coin,https://assets.coingecko.com/coins/images/3527/large/8680493537c30f81917d034613b289e9.png?1547038326,0.04102575,1261562,1937,,6.94,,,,,,,30750491.47,76600833.77,,1.1,-96.27632,2021-05-05T20:40:35.137Z,0.00009374,43666.09746,2019-09-28T00:00:00.000Z,,2023-03-07T02:21:54.093Z,,-0.9728711582,eth,-97.28711582
AMM,ubeswap,ube,Ubeswap,https://assets.coingecko.com/coins/images/15317/large/ubeswap.png?1620395836,0.0128615,996565,2042,,1750.8,0.0132465,0.01251632,-0.0003849986331,-2.90642,-24145.84624,-2.36559,77483682.6,100000000,,4.12,-99.68797,2021-05-08T14:03:47.772Z,0.01251632,2.78372,2023-03-08T22:38:58.444Z,,2023-03-09T12:13:42.318Z,0.2584998573,,,
AMM,value-liquidity,value,Value DeFi,https://assets.coingecko.com/coins/images/12525/large/value_logo_-_500x500.png?1601478115,0.190362,959082,2066,959855,33983,0.19358,0.18527,0.00409058,2.19604,16245.61,1.72306,5038857.739,5042915.189,5042915.189,46.9,-99.59392,2020-09-19T05:59:04.565Z,0.095758,98.8748,2022-05-13T03:01:00.776Z,,2023-03-09T12:18:04.920Z,0.2743224612,,,
AMM,thorus,tho,Thorus,https://assets.coingecko.com/coins/images/22297/large/THO_200x200.png?1641425001,0.060674,684518,2243,12134740,0,0.060674,0.060674,0,0,0,0,11281948.02,34701512.59,200000000,1.91,-96.81988,2022-01-07T22:22:51.096Z,0.03059706,98.29909,2022-03-24T00:10:58.180Z,,2023-03-09T10:32:24.500Z,,,,
AMM,bsc-station,bscs,BSC Station,https://assets.coingecko.com/coins/images/14963/large/BSCS_LOGO.png?1619158072,0.01732339,673108,2248,,69840,0.01764625,0.01668436,-0.0001473381625,-0.84334,-7631.131319,-1.12101,38866314,500000000,,1.17,-98.52338,2021-05-02T16:24:05.435Z,0.00778674,122.3882,2022-12-26T17:04:22.484Z,,2023-03-09T12:18:07.269Z,0.4671035666,,,
AMM,sifchain,erowan,Sifchain,https://assets.coingecko.com/coins/images/14044/large/EROWAN.png?1614656300,0.00026604,667699,2251,796925,87709,0.00028842,0.00026507,-0.00001371600797,-4.90287,-52793.63593,-7.32744,2509546665,2995244658,2995244658,1.41,-99.98111,2021-03-17T22:33:54.889Z,0.00020867,27.54107,2023-01-02T01:31:23.607Z,,2023-03-09T12:17:22.599Z,-0.748849267,,,
AMM,cofix,cofi,CoFiX,https://assets.coingecko.com/coins/images/12781/large/dnPnSkfa_400x400.png?1602885321,0.03480547,461152,2424,,26573,0.04701707,0.02598831,-0.005828572633,-14.34406,-86219.17959,-15.75151,13457552.73,13457552.73,,9.2,-99.6319,2020-10-12T18:30:32.828Z,0.00073358,4515.56098,2022-04-13T13:03:27.674Z,,2023-03-09T12:18:05.116Z,7.392955533,,,
AMM,wanswap,wasp,WanSwap,https://assets.coingecko.com/coins/images/15183/large/3l8ivBT.png?1620033484,0.00168867,343337,2592,,745.86,0.00181044,0.0016837,-0.000115594712,-6.40676,-24084.19535,-6.55493,203546971.4,210000000,,0.377371,-99.55289,2021-05-10T18:51:54.616Z,0.0012926,30.53164,2023-02-13T10:58:48.824Z,,2023-03-09T12:16:43.825Z,-0.3308085833,,,
AMM,ardana,dana,Ardana,https://assets.coingecko.com/coins/images/18440/large/ardana.PNG?1632005031,0.00417147,195598,2858,,12838.76,0.00419067,0.0037827,0.00029741,7.67699,13905.46,7.6533,46906250,125000000,,11.27,-99.96467,2021-11-25T02:32:31.921Z,0.00228902,74.03041,2023-02-13T05:05:31.038Z,,2023-03-09T12:17:56.290Z,4.417808538,,,
AMM,lien,lien,Lien,https://assets.coingecko.com/coins/images/12224/large/Lien.png?1598262819,0.524999,186314,2887,525015,33875,0.531507,0.489498,0.00468313,0.90006,1786.38,0.96808,354874.2582,1000000,1000000,956.78,-99.94491,2020-09-02T01:41:04.588Z,0.01022065,5056.71951,2022-04-13T20:11:26.361Z,,2023-03-09T12:18:06.229Z,1.469169364,,,
AMM,fastswap-bsc,fast,Fastswap (BSC),https://assets.coingecko.com/coins/images/19218/large/Fastswap.jpg?1634700925,0.00045441,166524,2933,226734,14580.57,0.00053126,0.00044494,-0.00002184979705,-4.58783,-8377.987509,-4.79012,367221500.1,465000000,500000000,0.060121,-99.24528,2021-11-15T07:01:34.812Z,0.00034507,31.49482,2023-02-13T16:36:27.849Z,,2023-03-09T12:17:49.470Z,0.3582551551,,,
AMM,sake-token,sake,SakeSwap,https://assets.coingecko.com/coins/images/12428/large/sake.png?1599777402,0.00203906,149804,2992,277012,35028,0.00206781,0.00202638,4.01E-07,0.01969,-739.9421573,-0.49151,73697603.68,136278605.5,136278605.5,3.18,-99.93609,2020-09-13T15:55:02.467Z,0.0011006,84.90447,2022-05-21T12:10:19.059Z,,2023-03-09T12:17:16.801Z,-0.1109190272,,,
AMM,zero-exchange,zero,0.exchange,https://assets.coingecko.com/coins/images/13706/large/0.exchange_%28logo%29.jpg?1617070530,0.00029961,112354,3108,284631,0.679225,0.00030303,0.00029888,-4.79E-07,-0.15955,-307596.3171,-73.24583,375000000,564100000,950000000,0.425989,-99.92967,2021-03-18T22:54:45.126Z,0.00019898,50.57217,2022-09-07T00:23:02.934Z,,2023-03-09T00:38:08.064Z,,,,
AMM,macaronswap,mcrn,MacaronSwap,https://assets.coingecko.com/coins/images/14633/large/macaron.png?1623038435,0.089097,73891,3280,1075487,15846.67,0.090786,0.084541,-0.00008055683881,-0.09033,451.7,0.61507,824457.6554,4412911.162,12000000,10.39,-99.13779,2021-04-03T12:14:54.130Z,0.078721,13.82414,2022-12-16T23:40:40.693Z,,2023-03-09T12:17:47.526Z,1.45890188,,,
AMM,snowball-token,snob,Snowball,https://assets.coingecko.com/coins/images/14347/large/snowball.png?1615879335,0.01117889,61299,3331,201367,1173,0.01173242,0.0106646,-0.0005535337648,-4.71798,-2673.579063,-4.17928,5479423.547,17805947.64,18000000,3.93,-99.71521,2021-08-25T15:19:18.069Z,0.0106646,4.93258,2023-03-08T23:11:44.778Z,,2023-03-09T12:17:29.461Z,0.2201071775,,,
AMM,zoomswap,zm,ZoomSwap,https://assets.coingecko.com/coins/images/18807/large/icon_zoomswap.png?1633479755,0.00215675,25384,3542,189718,776.6,0.00219874,0.00211384,-0.00001969149679,-0.90476,-229.8576635,-0.89738,11769429,11490225,87962112,0.897395,-99.7578,2021-10-11T15:53:40.353Z,0.00208772,4.10727,2023-03-03T02:00:10.114Z,,2023-03-09T12:13:58.785Z,-1.325818802,,,
AMM,viper,viper,Viper,https://assets.coingecko.com/coins/images/15305/large/0c4b902b40f14db918f4500956386414ab7ebcfe.jpeg?1620371961,0.00005579,16630.01,3618,27895,9,0.00005823,0.00005367,-6.85E-07,-1.21291,-202.8456386,-1.20506,298083138.3,347368275.8,500000000,1.86,-99.997,2021-05-18T22:53:02.592Z,0.00002801,99.38588,2022-12-30T14:55:47.736Z,,2023-03-09T12:13:47.367Z,2.554640818,,,
AMM,alium-finance,alm,Alium Finance,https://assets.coingecko.com/coins/images/15621/large/alium.png?1655449806,0.00564599,0,,,4749.61,0.00576211,0.00556782,-0.00001626398815,-0.28724,0,0,0,,,0.400301,-98.59121,2021-06-10T21:04:39.848Z,0.00440246,28.09644,2022-12-21T22:01:05.486Z,,2023-03-09T12:17:48.269Z,0.361832895,,,
