,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
3730,3730,0,2022-11-04,DASH/USDT,41.82,,45.25,,41.65,,44.57,,
3731,3731,1,2022-11-05,DASH/USDT,44.56,0.0655188904830226,46.11,0.0190055248618783,44.53,0.0691476590636255,45.49,0.0206416872335652,2.8938756068465445
3732,3732,2,2022-11-06,DASH/USDT,45.49,0.0208707360861759,46.05,-0.0013012361743657,43.34,-0.0267235571524814,43.7,-0.0393493075401186,2.128330989971272
3733,3733,3,2022-11-07,DASH/USDT,43.67,-0.0400087931413497,47.47,0.0308360477741584,43.37,0.0006922011998151,45.74,0.0466819221967962,-3.103554329905864
3734,3734,4,2022-11-08,DASH/USDT,45.75,0.0476299519120677,47.19,-0.0058984621866442,34.26,-0.2100530320498039,38.41,-0.160253607345868,1.6144639472712574
3735,3735,5,2022-11-09,DASH/USDT,38.33,-0.1621857923497268,38.54,-0.1833015469379105,30.6,-0.1068301225919439,32.16,-0.1627180421765165,1.1499565440735682
3736,3736,6,2022-11-10,DASH/USDT,32.11,-0.162274980433081,37.25,-0.0334717176959002,31.59,0.0323529411764704,36.9,0.1473880597014927,1.3983055107400901
3737,3737,7,2022-11-11,DASH/USDT,36.82,0.1466832762379322,37.7,0.0120805369127516,34.38,0.0883190883190883,35.85,-0.0284552845528454,0.943496593525951
3738,3738,8,2022-11-12,DASH/USDT,35.81,-0.0274307441607821,35.85,-0.0490716180371353,33.3,-0.0314136125654451,33.8,-0.0571827057182706,3.7800662713459308
3739,3739,9,2022-11-13,DASH/USDT,33.8,-0.0561295727450433,34.74,-0.0309623430962342,32.76,-0.0162162162162161,33.4,-0.0118343195266271,0.41258222555049906
3740,3740,10,2022-11-14,DASH/USDT,33.4,-0.0118343195266271,34.64,-0.0028785261945883,31.51,-0.038156288156288,34.48,0.0323353293413173,1.8232487754024989
3741,3741,11,2022-11-15,DASH/USDT,34.45,0.0314371257485031,35.2,0.0161662817551964,33.77,0.071723262456363,34.31,-0.0049303944315544,-0.29148907203386915
3742,3742,12,2022-11-16,DASH/USDT,34.3,-0.0043541364296082,34.56,-0.0181818181818181,32.84,-0.0275392360082913,33.82,-0.0142815505683474,1.014954564942159
3743,3743,13,2022-11-17,DASH/USDT,33.83,-0.0137026239067055,34.07,-0.0141782407407408,33.02,0.0054811205846527,33.79,-0.0008870490833826,-0.49599617398061313
3744,3744,14,2022-11-18,DASH/USDT,33.8,-0.0008867868755543,34.73,0.0193718814206045,33.41,0.011811023622047,34.49,0.0207161882213673,43.82841759905809
3745,3745,15,2022-11-19,DASH/USDT,34.49,0.020414201183432,35.93,0.0345522602936942,33.94,0.0158635139179885,35.6,0.0321832415192808,2336.8461558001454
3746,3746,16,2022-11-20,DASH/USDT,35.59,0.0318933024064946,36.16,0.0064013359309769,34.43,0.0144372421921037,34.57,-0.0289325842696629,1.1492301854219835
3747,3747,17,2022-11-21,DASH/USDT,34.57,-0.0286597358808654,35.07,-0.0301438053097343,33.6,-0.0241068835318035,34.47,-0.0028926815157651,0.09438714152684621
3748,3748,18,2022-11-22,DASH/USDT,34.49,-0.002314145212612,37.37,0.0655831194753349,34.22,0.0184523809523808,37.32,0.082680591818973,2.9278725386892055
3749,3749,19,2022-11-23,DASH/USDT,37.34,0.0826326471440996,44.18,0.1822317366871824,36.83,0.0762711864406779,43.14,0.1559485530546625,6.727191996982314
3750,3750,20,2022-11-24,DASH/USDT,43.13,0.1550615961435457,43.43,-0.0169760072430964,41.4,0.1240836274775998,42.03,-0.0257301808066758,102.69255342624055
3751,3751,21,2022-11-25,DASH/USDT,42.02,-0.0257361465337352,42.47,-0.0221045360349988,40.21,-0.028743961352657,40.5,-0.0364025695931478,7.866741733474416
3752,3752,22,2022-11-26,DASH/USDT,40.51,-0.0359352689195622,42.27,-0.0047092064987048,40.35,0.003481720964934,41.09,0.014567901234568,-3.786265592318868
